,T1_prop_dist,T1_endpoint_dist,T1_prop_times,T1_interactions
0,17.098528897336635,15.693786283234779,570.3464034175906,5
1,16.697617935347143,15.693854452366283,556.9734327582838,3
2,17.815347335207726,15.69421468155549,594.2569293112466,3
3,16.43423225237607,15.694312467424623,548.1878186334549,5
4,16.36818834370855,15.69439611275092,545.9848276040905,5
5,13.851314750234572,15.69453284483526,462.0308330520685,4
6,18.63369880088287,15.694682277370863,621.5542376341887,7
7,16.692116866688103,15.694808531953372,556.7899365789648,6
8,25.302518820778197,15.696978768290581,844.0024690711625,25
9,17.966871906779325,15.697033119153879,599.3112526945123,5
10,17.757966056511098,15.697475351120195,592.3428929561528,6
11,16.11581373405852,15.697672805897716,537.5665039113292,3
12,16.900999041723583,15.698437812997524,563.7575065953589,6
13,17.58690985994708,15.698457822201435,586.6370636957317,3
14,16.405355889478614,15.698466725772528,547.2246053756809,7
15,15.975269133782685,15.698482322705573,532.8784335066541,6
16,16.333886613664305,15.698780173409713,544.8406433014992,7
17,13.738962374933205,15.699235530081735,458.2831554855768,3
18,16.25122431622975,15.700130240242354,542.0833216439981,4
19,15.288225740081378,15.70017301387978,509.9610976971159,6
20,15.64053363365521,15.700226014388942,521.7128420256447,6
21,15.78134936337526,15.700330009161606,526.4099563489106,5
22,16.700253213432045,15.701334535483637,557.0613363075747,4
23,18.526160346565685,15.70173318528047,617.9671354327562,4
24,14.23480040024915,15.702177202742982,474.8225569811452,3
25,16.88844380920517,15.702501889485953,563.3387084780504,5
26,14.467225553371485,15.702611293986513,482.5754374156577,4
27,14.847496541535296,15.703096110829494,495.25993160375515,4
28,15.34944936980971,15.703196794523127,512.0033012825462,5
29,16.30429997880324,15.703265170869166,543.8537378850416,5
30,17.314912984549743,15.70413339880432,577.5642106710567,3
31,16.955519342118773,15.70417675406341,565.5761108408087,3
32,13.790344392343432,15.704226400592441,459.997077718666,3
33,13.635525478184874,15.704734938490061,454.83286672709323,4
34,17.686159696365827,15.7055734313958,589.9476869418072,3
35,17.6024893387735,15.707420275943537,587.1567399654926,4
36,16.138326264382545,15.70756761516546,538.3174422393707,4
37,15.735165346931609,15.70816414532536,524.8694210296342,7
38,17.281901180280702,16.904543333765993,576.4630537266072,5
39,18.964959224179776,16.903517804222233,632.6039128522367,6
40,17.94340022300507,16.896002219634074,598.5283204023146,6
41,18.868568072601896,16.893062055537943,629.3886452140782,5
42,17.45686038557323,16.891350602621436,582.2990735434311,2
43,17.86520894335024,16.89058885210466,595.9201360726851,3
44,16.434758048924294,16.889874099589377,548.2053573452358,6
45,15.324895109278032,16.885549387850688,511.1842580615237,6
46,14.820296464686887,16.87773030979133,494.3526333153282,5
47,18.51945180719572,16.873852721239974,617.7433623043883,3
48,18.267504342734057,16.867707098191772,609.3392866632217,4
49,16.493362074364246,16.867601307801614,550.1601802037494,7
50,15.840914667476106,16.866155733593963,528.3968440610859,6
51,19.015787176988056,16.85506590868633,634.2993534513281,7
52,17.888343497655935,16.8547319800231,596.6918229190884,7
53,23.13809140248627,16.854640979187867,771.804831432669,22
54,18.268849593136665,16.854287374768607,609.384159455111,5
55,16.70588397609274,16.85333996001278,557.2491586197343,5
56,14.856411363617163,16.85120537897885,495.5572985142086,3
57,18.427373570903537,16.850916067079392,614.6719582545077,4
58,16.898500725946654,16.85064699039389,563.674171623881,4
59,18.958748000916827,16.849593251138845,632.3967284289383,5
60,15.55279585496752,16.848563477717157,518.7862202783103,3
61,17.82506485387053,16.84800079898697,594.581071338479,5
62,18.942833703057907,16.845693819723287,631.865883781352,5
63,16.45878557253659,16.844932666990506,549.006830487024,6
64,18.8738824180636,16.843678835084948,629.5659129684448,7
65,15.59336467722385,16.842614597314345,520.1394525945939,6
66,15.72458780423652,16.839525330333696,524.5165916447577,3
67,15.7202894904676,16.83762608689783,524.3732151113973,4
68,22.256391436375825,20.567510813463045,742.394441358536,7
69,24.7529084355253,20.56976676553902,825.6694119764803,26
70,21.94386651036703,20.57016880651279,731.9697160153382,6
71,22.044922644477985,20.576687201473604,735.3405909589977,3
72,19.32568553550216,20.59132384670553,644.636465799693,2
73,22.11950791015598,20.592360345320756,737.8284914259214,5
74,22.476465728993386,20.6102116673159,749.7353408027361,3
75,18.836683863328542,20.6157310346712,628.325100847539,3
76,21.199169647314275,20.61599652146265,707.1292645338859,5
77,20.588544643593455,20.62107889262618,686.760975729621,11
78,23.00552959109352,20.62247223062302,767.3830386098869,6
79,23.301451847170977,20.628236699139478,777.2539576496697,6
80,21.254062500459074,20.63741765030019,708.9602958204046,4
81,22.618504803530218,20.643563796080716,754.4732615790354,4
82,16.41802128285974,17.139732004212345,547.6470780694528,8
83,18.341077655968526,17.139782467897653,611.7934319784559,5
84,15.064249570579776,17.13980167751742,502.4900454508384,2
85,19.37025748028711,17.14018969137099,646.1232281143963,21
86,16.59837842210041,17.140205352037626,553.6631538566876,5
87,18.132284235916288,17.140443032116384,604.8288225141528,7
88,16.168264210692932,17.140573993386646,539.3160661623036,5
89,18.665176503228317,17.140578247950472,622.6042223684526,2
90,19.36401424864898,17.140767973443158,645.9149760049961,5
91,19.19628181950529,17.140948635139118,640.3200158611734,4
92,19.202885909543593,17.141070446803298,640.5403049295376,4
93,17.690634963015658,17.141253261665565,590.0969659969464,3
94,17.787444118387487,17.141268641410747,593.326176762138,2
95,20.974275315506112,17.1413699199318,699.6275856429162,19
96,18.68964317082067,17.141437368361483,623.4203437990564,4
97,17.933600881893533,17.141945488966584,598.2014490678048,5
98,17.731243962934148,17.141973439292684,591.45153849783,5
99,18.636692692583757,17.14214093707157,621.6541032643885,11
100,17.023428833291526,17.142840925415065,567.8413310992796,3
101,18.108777895033136,17.142886418042337,604.0447341834717,10
102,18.067598605931547,17.143022808154544,602.6711388539903,4
103,16.93187032457085,17.14323010679665,564.787263321598,8
104,16.93196876046651,17.143642044674976,564.7905467946613,3
105,15.190538327581145,17.143729373007318,506.70259138273013,4
106,17.305836331504544,17.143957989281855,577.2614456524705,4
107,17.798373954779837,17.14439962087779,593.6907574178042,6
108,15.882463853122243,17.14484367447388,529.7827778300369,5
109,17.64287486875716,17.145385591864944,588.5038583003269,4
110,19.266615778424406,17.14607248293628,642.6661077822091,3
111,19.843634791242305,17.146565835795567,661.9134196790543,7
112,18.8927554551006,17.14694927592907,630.1954506824932,4
113,17.61239644609763,17.14722336408707,587.487205999414,11
114,16.911885234611297,17.147243120799157,564.1206314581875,11
