CMDLINE /home/drixit/2022Projects/Monte-Python/poetryEnv/.venv/bin/python mainTof.py
MEM 3.421875 1694733963.4958
MEM 19.796875 1694733963.5965
MEM 30.355469 1694733963.6970
MEM 38.839844 1694733963.7974
MEM 57.917969 1694733963.8978
MEM 71.347656 1694733963.9981
MEM 86.292969 1694733964.0984
MEM 92.824219 1694733964.1990
MEM 92.921875 1694733964.2994
MEM 91.636719 1694733964.3999
MEM 91.636719 1694733964.5003
MEM 91.636719 1694733964.6007
MEM 91.636719 1694733964.7012
MEM 91.636719 1694733964.8015
MEM 91.636719 1694733964.9021
MEM 91.636719 1694733965.0025
MEM 91.636719 1694733965.1029
MEM 91.636719 1694733965.2033
MEM 91.636719 1694733965.3037
MEM 94.628906 1694733965.4041
MEM 95.125000 1694733965.5060
MEM 95.125000 1694733965.6075
MEM 95.125000 1694733965.7338
MEM 95.125000 1694733965.8343
MEM 95.125000 1694733965.9355
MEM 95.125000 1694733966.0382
MEM 95.125000 1694733966.1393
MEM 95.125000 1694733966.2398
MEM 95.125000 1694733966.3403
MEM 95.125000 1694733966.4416
MEM 95.125000 1694733966.5420
MEM 95.125000 1694733966.6429
MEM 95.125000 1694733966.7434
MEM 95.125000 1694733966.8465
MEM 95.125000 1694733966.9471
MEM 95.125000 1694733967.0476
MEM 95.125000 1694733967.1530
MEM 95.125000 1694733967.2545
MEM 95.125000 1694733967.3586
MEM 95.125000 1694733967.4593
MEM 95.125000 1694733967.5598
MEM 95.125000 1694733967.6666
MEM 95.125000 1694733967.7673
MEM 95.125000 1694733967.8681
MEM 95.125000 1694733967.9702
MEM 95.125000 1694733968.0745
MEM 95.125000 1694733968.1787
MEM 95.125000 1694733968.2792
MEM 95.125000 1694733968.3797
MEM 95.125000 1694733968.4851
MEM 95.125000 1694733968.5858
MEM 95.125000 1694733968.6886
MEM 95.125000 1694733968.7917
MEM 95.125000 1694733968.8921
MEM 95.125000 1694733968.9926
MEM 95.125000 1694733969.0957
MEM 95.125000 1694733969.1962
MEM 95.125000 1694733969.2966
MEM 95.125000 1694733969.3971
MEM 95.125000 1694733969.4976
MEM 95.125000 1694733969.5981
MEM 95.125000 1694733969.7061
MEM 95.125000 1694733969.8065
MEM 95.125000 1694733969.9070
MEM 95.125000 1694733970.0075
MEM 95.125000 1694733970.1080
MEM 95.125000 1694733970.2084
MEM 95.125000 1694733970.3117
MEM 95.125000 1694733970.4122
MEM 95.125000 1694733970.5127
MEM 95.125000 1694733970.6133
MEM 95.125000 1694733970.7137
MEM 95.125000 1694733970.8149
MEM 95.125000 1694733970.9162
MEM 95.125000 1694733971.0169
MEM 95.125000 1694733971.1174
MEM 95.125000 1694733971.2179
MEM 95.125000 1694733971.3183
MEM 95.125000 1694733971.4200
MEM 95.125000 1694733971.5205
MEM 95.125000 1694733971.6210
MEM 95.125000 1694733971.7231
MEM 95.125000 1694733971.8235
MEM 95.125000 1694733971.9246
MEM 95.125000 1694733972.0251
MEM 95.125000 1694733972.1256
MEM 95.125000 1694733972.2260
MEM 95.125000 1694733972.3265
MEM 95.125000 1694733972.4278
MEM 95.125000 1694733972.5284
MEM 95.125000 1694733972.6289
MEM 95.125000 1694733972.7297
MEM 95.125000 1694733972.8302
MEM 95.125000 1694733972.9315
MEM 95.125000 1694733973.0319
MEM 95.125000 1694733973.1324
MEM 95.125000 1694733973.2341
MEM 95.125000 1694733973.3345
MEM 95.125000 1694733973.4351
MEM 95.125000 1694733973.5355
MEM 95.125000 1694733973.6360
MEM 95.125000 1694733973.7364
MEM 95.125000 1694733973.8469
MEM 95.125000 1694733973.9474
MEM 95.125000 1694733974.0479
MEM 95.125000 1694733974.1484
MEM 95.125000 1694733974.2489
MEM 95.125000 1694733974.3537
MEM 95.125000 1694733974.4617
MEM 95.125000 1694733974.5640
MEM 95.125000 1694733974.6645
MEM 95.125000 1694733974.7652
MEM 95.125000 1694733974.8657
MEM 95.125000 1694733974.9662
MEM 95.125000 1694733975.0672
MEM 95.125000 1694733975.1679
MEM 95.125000 1694733975.2683
MEM 95.125000 1694733975.3688
MEM 95.125000 1694733975.4693
MEM 95.125000 1694733975.5698
MEM 95.125000 1694733975.6703
MEM 95.125000 1694733975.7708
MEM 95.125000 1694733975.8722
MEM 95.125000 1694733975.9729
MEM 95.125000 1694733976.0734
MEM 95.125000 1694733976.1766
MEM 95.125000 1694733976.2777
MEM 95.125000 1694733976.3783
MEM 95.125000 1694733976.4804
MEM 95.125000 1694733976.5819
MEM 95.125000 1694733976.6900
MEM 95.125000 1694733976.7905
MEM 95.125000 1694733976.8910
MEM 95.125000 1694733976.9931
MEM 95.234375 1694733977.0936
MEM 95.277344 1694733977.1940
MEM 95.292969 1694733977.2945
MEM 95.292969 1694733977.3949
MEM 95.292969 1694733977.4954
MEM 95.292969 1694733977.5958
MEM 95.292969 1694733977.7014
MEM 95.292969 1694733977.8019
MEM 95.292969 1694733977.9023
MEM 95.292969 1694733978.0028
MEM 95.292969 1694733978.1033
MEM 95.292969 1694733978.2037
MEM 95.292969 1694733978.3042
MEM 95.292969 1694733978.4047
MEM 95.292969 1694733978.5052
MEM 95.292969 1694733978.6056
MEM 95.292969 1694733978.7070
MEM 95.292969 1694733978.8076
MEM 95.292969 1694733978.9082
MEM 95.292969 1694733979.0088
MEM 95.292969 1694733979.1095
MEM 95.292969 1694733979.2142
MEM 95.292969 1694733979.3147
MEM 95.292969 1694733979.4152
MEM 95.292969 1694733979.5156
MEM 95.292969 1694733979.6161
MEM 95.292969 1694733979.7166
MEM 95.292969 1694733979.8183
MEM 95.292969 1694733979.9188
MEM 95.292969 1694733980.0211
MEM 95.292969 1694733980.1220
MEM 95.292969 1694733980.2225
MEM 95.292969 1694733980.3229
MEM 95.292969 1694733980.4235
MEM 95.292969 1694733980.5239
MEM 95.292969 1694733980.6244
MEM 95.292969 1694733980.7248
MEM 95.292969 1694733980.8253
MEM 95.292969 1694733980.9257
MEM 95.292969 1694733981.0262
MEM 95.292969 1694733981.1267
MEM 95.292969 1694733981.2272
MEM 95.292969 1694733981.3278
MEM 95.292969 1694733981.4298
MEM 95.292969 1694733981.5303
MEM 95.292969 1694733981.6332
MEM 95.292969 1694733981.7338
MEM 95.292969 1694733981.8342
MEM 95.292969 1694733981.9347
MEM 95.292969 1694733982.0351
MEM 95.292969 1694733982.1356
MEM 95.292969 1694733982.2360
MEM 95.292969 1694733982.3364
MEM 95.292969 1694733982.4369
MEM 95.292969 1694733982.5373
MEM 95.292969 1694733982.6378
MEM 95.292969 1694733982.7413
MEM 95.292969 1694733982.8418
MEM 95.292969 1694733982.9428
MEM 95.292969 1694733983.0432
MEM 95.292969 1694733983.1437
MEM 95.292969 1694733983.2441
MEM 95.292969 1694733983.3445
MEM 95.292969 1694733983.4451
MEM 95.292969 1694733983.5464
MEM 95.292969 1694733983.6472
MEM 95.292969 1694733983.7477
MEM 95.292969 1694733983.8481
MEM 95.292969 1694733983.9486
MEM 95.292969 1694733984.0500
MEM 95.292969 1694733984.1506
MEM 95.292969 1694733984.2517
MEM 95.292969 1694733984.3544
MEM 95.292969 1694733984.4553
MEM 95.292969 1694733984.5558
MEM 95.292969 1694733984.6562
MEM 95.292969 1694733984.7567
MEM 95.292969 1694733984.8571
MEM 95.292969 1694733984.9589
MEM 95.292969 1694733985.0594
MEM 95.292969 1694733985.1615
MEM 95.292969 1694733985.2626
MEM 95.292969 1694733985.3631
MEM 95.292969 1694733985.4636
MEM 95.292969 1694733985.5641
MEM 95.292969 1694733985.6645
MEM 95.292969 1694733985.7650
MEM 95.292969 1694733985.8655
MEM 95.292969 1694733985.9659
MEM 95.292969 1694733986.0723
MEM 95.292969 1694733986.1745
MEM 95.292969 1694733986.2750
MEM 95.292969 1694733986.3831
MEM 95.292969 1694733986.4914
MEM 95.292969 1694733986.5922
MEM 95.292969 1694733986.7043
MEM 95.292969 1694733986.8050
MEM 95.292969 1694733986.9055
MEM 95.292969 1694733987.0120
MEM 95.292969 1694733987.1183
MEM 95.292969 1694733987.2239
MEM 95.292969 1694733987.3250
MEM 95.292969 1694733987.4255
MEM 95.292969 1694733987.5260
MEM 95.292969 1694733987.6265
MEM 95.292969 1694733987.7278
MEM 95.542969 1694733987.8283
MEM 95.957031 1694733987.9322
MEM 95.957031 1694733988.0341
MEM 95.957031 1694733988.1363
MEM 95.957031 1694733988.2373
MEM 95.957031 1694733988.3378
MEM 95.957031 1694733988.4439
MEM 95.957031 1694733988.5519
MEM 95.957031 1694733988.6524
MEM 95.957031 1694733988.7620
MEM 95.957031 1694733988.8636
MEM 95.957031 1694733988.9689
MEM 95.957031 1694733989.0797
MEM 95.957031 1694733989.1856
MEM 95.957031 1694733989.2939
MEM 95.957031 1694733989.3988
MEM 95.957031 1694733989.5042
MEM 95.957031 1694733989.6046
MEM 95.957031 1694733989.7050
MEM 95.957031 1694733989.8055
MEM 95.957031 1694733989.9060
MEM 95.957031 1694733990.0076
MEM 95.957031 1694733990.1082
MEM 95.957031 1694733990.2087
MEM 95.957031 1694733990.3092
MEM 95.957031 1694733990.4104
MEM 95.957031 1694733990.5113
MEM 95.957031 1694733990.6124
MEM 96.078125 1694733990.7181
MEM 96.078125 1694733990.8257
MEM 96.078125 1694733990.9308
MEM 96.078125 1694733991.0317
MEM 96.078125 1694733991.1322
MEM 96.273438 1694733991.2343
MEM 96.273438 1694733991.3369
MEM 96.273438 1694733991.4385
MEM 96.523438 1694733991.5442
MEM 96.523438 1694733991.6466
MEM 96.523438 1694733991.7473
MEM 96.660156 1694733991.8478
MEM 96.742188 1694733991.9485
MEM 96.742188 1694733992.0523
MEM 96.832031 1694733992.1529
MEM 96.832031 1694733992.2534
MEM 96.832031 1694733992.3552
MEM 96.832031 1694733992.4560
MEM 96.832031 1694733992.5587
MEM 96.832031 1694733992.6687
MEM 96.832031 1694733992.7722
MEM 96.832031 1694733992.8736
MEM 96.832031 1694733992.9741
MEM 96.832031 1694733993.0758
MEM 96.832031 1694733993.1764
MEM 96.832031 1694733993.2788
MEM 96.832031 1694733993.3793
MEM 97.058594 1694733993.4817
MEM 97.175781 1694733993.5883
MEM 97.175781 1694733993.6937
MEM 97.175781 1694733993.7944
MEM 97.175781 1694733993.9018
MEM 97.265625 1694733994.0120
MEM 97.265625 1694733994.1188
MEM 97.265625 1694733994.2253
MEM 97.265625 1694733994.3323
MEM 97.265625 1694733994.4380
MEM 97.265625 1694733994.5386
MEM 97.265625 1694733994.6417
MEM 97.265625 1694733994.7440
MEM 97.265625 1694733994.8448
MEM 97.265625 1694733994.9465
MEM 97.265625 1694733995.0573
MEM 97.402344 1694733995.1583
MEM 97.402344 1694733995.2591
