CMDLINE /home/drixit/2022Projects/Monte-Python/poetryEnv/.venv/bin/python mainTof.py
MEM 96.972656 1694733815.0589
MEM 96.972656 1694733815.1595
MEM 96.972656 1694733815.2600
MEM 96.972656 1694733815.3625
MEM 96.972656 1694733815.4632
MEM 96.972656 1694733815.5637
MEM 96.972656 1694733815.6641
MEM 96.972656 1694733815.7707
MEM 96.972656 1694733815.8720
MEM 96.972656 1694733815.9726
MEM 96.972656 1694733816.0732
MEM 96.972656 1694733816.1739
MEM 96.972656 1694733816.2861
MEM 96.972656 1694733816.3870
MEM 96.972656 1694733816.4951
MEM 96.972656 1694733816.5963
MEM 96.972656 1694733816.6968
MEM 96.972656 1694733816.8040
MEM 96.972656 1694733816.9044
MEM 96.972656 1694733817.0051
MEM 96.972656 1694733817.1056
MEM 96.972656 1694733817.2060
MEM 96.972656 1694733817.3089
MEM 96.972656 1694733817.4105
MEM 96.972656 1694733817.5110
MEM 96.972656 1694733817.6115
MEM 96.972656 1694733817.7120
MEM 96.972656 1694733817.8136
MEM 96.972656 1694733817.9141
MEM 96.972656 1694733818.0146
MEM 96.972656 1694733818.1150
MEM 96.972656 1694733818.2155
MEM 96.972656 1694733818.3161
MEM 96.972656 1694733818.4165
MEM 96.972656 1694733818.5171
MEM 96.972656 1694733818.6176
MEM 96.972656 1694733818.7181
MEM 96.972656 1694733818.8188
MEM 96.972656 1694733818.9193
MEM 96.972656 1694733819.0201
MEM 96.972656 1694733819.1207
MEM 96.972656 1694733819.2216
MEM 96.972656 1694733819.3233
MEM 96.972656 1694733819.4237
MEM 96.972656 1694733819.5243
MEM 96.972656 1694733819.6264
MEM 96.972656 1694733819.7269
MEM 96.972656 1694733819.8279
MEM 96.972656 1694733819.9284
MEM 96.972656 1694733820.0305
MEM 96.972656 1694733820.1310
MEM 96.972656 1694733820.2360
MEM 97.230469 1694733820.3364
MEM 97.886719 1694733820.4401
MEM 98.167969 1694733820.5415
MEM 98.167969 1694733820.6420
MEM 98.203125 1694733820.7425
MEM 98.203125 1694733820.8429
MEM 98.203125 1694733820.9434
MEM 98.203125 1694733821.0441
MEM 98.488281 1694733821.1446
MEM 98.488281 1694733821.2450
MEM 98.488281 1694733821.3461
MEM 98.769531 1694733821.4465
MEM 99.058594 1694733821.5470
MEM 99.062500 1694733821.6476
MEM 99.062500 1694733821.7554
MEM 99.062500 1694733821.8560
MEM 99.062500 1694733821.9564
MEM 99.062500 1694733822.0568
MEM 99.062500 1694733822.1611
MEM 99.062500 1694733822.2616
MEM 99.062500 1694733822.3620
MEM 99.062500 1694733822.4654
MEM 99.062500 1694733822.5658
MEM 99.062500 1694733822.6663
MEM 99.062500 1694733822.7668
MEM 99.062500 1694733822.8674
MEM 99.062500 1694733822.9680
MEM 99.062500 1694733823.0686
MEM 99.062500 1694733823.1693
MEM 99.062500 1694733823.2700
MEM 99.062500 1694733823.3721
MEM 99.062500 1694733823.4731
MEM 99.062500 1694733823.5735
MEM 99.062500 1694733823.6757
MEM 99.062500 1694733823.7762
MEM 99.062500 1694733823.8781
MEM 99.062500 1694733823.9787
MEM 99.062500 1694733824.0803
MEM 99.062500 1694733824.1810
MEM 99.062500 1694733824.2829
MEM 99.062500 1694733824.3836
MEM 99.062500 1694733824.4841
MEM 99.062500 1694733824.5853
MEM 99.062500 1694733824.6857
MEM 99.062500 1694733824.7882
MEM 99.062500 1694733824.8887
MEM 99.062500 1694733824.9913
MEM 99.062500 1694733825.0921
MEM 99.062500 1694733825.1948
MEM 99.062500 1694733825.2953
MEM 99.062500 1694733825.3957
MEM 99.062500 1694733825.4962
MEM 99.113281 1694733825.5966
MEM 99.113281 1694733825.6970
MEM 99.308594 1694733825.7975
MEM 99.558594 1694733825.9016
MEM 99.558594 1694733826.0024
MEM 100.050781 1694733826.1029
MEM 100.050781 1694733826.2047
MEM 100.304688 1694733826.3053
MEM 100.304688 1694733826.4058
MEM 100.304688 1694733826.5083
MEM 100.304688 1694733826.6088
MEM 100.304688 1694733826.7121
MEM 100.304688 1694733826.8132
MEM 100.304688 1694733826.9139
MEM 100.304688 1694733827.0151
MEM 100.304688 1694733827.1166
MEM 100.304688 1694733827.2171
MEM 100.558594 1694733827.3175
MEM 100.808594 1694733827.4180
MEM 100.808594 1694733827.5185
MEM 100.808594 1694733827.6189
MEM 100.808594 1694733827.7210
MEM 100.808594 1694733827.8214
MEM 100.808594 1694733827.9219
MEM 100.808594 1694733828.0223
MEM 100.808594 1694733828.1227
MEM 100.808594 1694733828.2234
MEM 100.808594 1694733828.3239
MEM 100.808594 1694733828.4247
MEM 100.808594 1694733828.5252
MEM 100.808594 1694733828.6256
MEM 100.808594 1694733828.7260
MEM 100.808594 1694733828.8265
MEM 100.808594 1694733828.9271
MEM 100.808594 1694733829.0275
MEM 100.808594 1694733829.1279
MEM 100.808594 1694733829.2283
MEM 100.808594 1694733829.3324
MEM 100.808594 1694733829.4328
MEM 100.808594 1694733829.5346
MEM 100.808594 1694733829.6351
MEM 100.808594 1694733829.7373
MEM 100.808594 1694733829.8378
MEM 100.808594 1694733829.9383
MEM 100.808594 1694733830.0388
MEM 101.468750 1694733830.1395
MEM 101.468750 1694733830.2401
MEM 101.679688 1694733830.3406
MEM 102.066406 1694733830.4410
MEM 102.261719 1694733830.5415
MEM 102.261719 1694733830.6419
MEM 102.628906 1694733830.7423
MEM 109.371094 1694733830.8458
MEM 112.953125 1694733830.9466
MEM 120.550781 1694733831.0471
MEM 131.121094 1694733831.1475
MEM 132.917969 1694733831.2481
MEM 138.683594 1694733831.3485
MEM 142.261719 1694733831.4493
MEM 141.105469 1694733831.5498
MEM 137.207031 1694733831.6502
