time	V(compout)
0.000000000000000e+00	1.417084e-01
5.573000000000000e-10	1.417084e-01
5.579980098087927e-10	1.417084e-01
5.593940294263782e-10	1.417084e-01
5.603079203719881e-10	1.417084e-01
5.612304266289913e-10	1.417084e-01
5.630754391429974e-10	1.417084e-01
5.667654641710098e-10	1.417084e-01
5.741455142270345e-10	1.417084e-01
5.773000000000001e-10	1.417084e-01
5.782100000000000e-10	1.417084e-01
5.786000000000000e-10	1.417084e-01
5.804868571428572e-10	1.417084e-01
5.823737142857143e-10	1.417084e-01
5.842605714285714e-10	1.417084e-01
5.861474285714286e-10	1.417084e-01
5.880342857142857e-10	1.417084e-01
5.899211428571428e-10	1.417084e-01
5.918079999999999e-10	1.417084e-01
6.051199999999998e-10	1.417084e-01
6.129000000000000e-10	1.417084e-01
6.155624000000000e-10	1.417084e-01
6.208871999999999e-10	1.417084e-01
6.315367999999998e-10	1.417084e-01
6.396000000000000e-10	1.417084e-01
6.409400000000001e-10	1.417084e-01
6.436200000000001e-10	1.417085e-01
6.489800000000001e-10	1.417085e-01
6.530000000000000e-10	1.417085e-01
6.538600000000001e-10	1.417085e-01
6.555800000000000e-10	1.417085e-01
6.590200000000000e-10	1.417085e-01
6.616000000000000e-10	1.417085e-01
6.621100000000000e-10	1.417085e-01
6.627900000000000e-10	1.417085e-01
6.633000000000000e-10	1.417085e-01
6.642520000000000e-10	1.417085e-01
6.653400000000000e-10	1.417085e-01
6.675160000000001e-10	1.417085e-01
6.686000000000000e-10	1.417085e-01
6.716464000000000e-10	1.417086e-01
6.751280000000000e-10	1.417086e-01
6.833000000000000e-10	1.417086e-01
6.846926400000000e-10	1.417087e-01
6.874779200000000e-10	1.417087e-01
6.930484800000001e-10	1.417087e-01
7.033000000000000e-10	1.417089e-01
7.235131748571430e-10	1.417092e-01
7.437263497142859e-10	1.417096e-01
7.639395245714288e-10	1.417102e-01
7.841526994285717e-10	1.417109e-01
8.043658742857147e-10	1.417116e-01
8.245790491428576e-10	1.417125e-01
8.447922240000005e-10	1.417136e-01
9.873985600000009e-10	1.417233e-01
1.152906386728154e-09	1.417428e-01
1.354873799921279e-09	1.417968e-01
1.561230058998726e-09	1.419378e-01
1.803238282084322e-09	1.422747e-01
2.091645214749915e-09	1.432824e-01
2.430458811961208e-09	1.557609e-01
2.585404018718566e-09	1.883198e-01
2.715452477788289e-09	2.561873e-01
2.851402526370350e-09	3.789997e-01
3.048031639866879e-09	6.584640e-01
3.354676024648145e-09	1.274514e+00
3.653329247912775e-09	2.000299e+00
3.805103230107429e-09	2.370748e+00
3.934269734932319e-09	2.628939e+00
4.107245239831537e-09	2.873289e+00
4.264705393489882e-09	3.016188e+00
4.385288163408816e-09	3.079098e+00
4.506415701309646e-09	3.112940e+00
4.646615339638093e-09	3.133023e+00
4.776473551296077e-09	3.141835e+00
4.932854092873262e-09	3.146538e+00
5.379868179758731e-09	3.151240e+00
5.755348275998826e-09	3.152959e+00
6.480470574305458e-09	3.154827e+00
7.306941298758415e-09	3.155814e+00
8.306941298758416e-09	3.156125e+00
9.306941298758417e-09	3.156148e+00
1.030694129875842e-08	3.156146e+00
1.130694129875842e-08	3.156147e+00
1.230694129875842e-08	3.156146e+00
1.330694129875842e-08	3.156146e+00
1.430694129875842e-08	3.156146e+00
1.530694129875842e-08	3.156146e+00
1.615281093824529e-08	3.156146e+00
1.682261241901063e-08	3.156146e+00
1.735710759370395e-08	3.156146e+00
1.793753339192281e-08	3.156146e+00
1.893753339192281e-08	3.156142e+00
1.993753339192281e-08	3.156113e+00
2.093753339192281e-08	3.155714e+00
2.193753339192281e-08	3.133663e+00
2.231713213401164e-08	3.047539e+00
2.250301130806061e-08	2.896822e+00
2.267636950486317e-08	2.658170e+00
2.282880251756285e-08	2.416919e+00
2.298922293224016e-08	2.154018e+00
2.323485813862267e-08	1.750439e+00
2.349649110111224e-08	1.335655e+00
2.380574794247794e-08	8.789734e-01
2.401992004783988e-08	6.002769e-01
2.431873382761102e-08	2.776629e-01
2.443601688319462e-08	1.926696e-01
2.454965194722837e-08	1.549250e-01
2.463290164927601e-08	1.455889e-01
2.471277603038690e-08	1.437460e-01
2.493593809578814e-08	1.429022e-01
2.520463987531173e-08	1.424552e-01
2.573315002022445e-08	1.419808e-01
2.657472586046806e-08	1.417486e-01
2.757472586046806e-08	1.417129e-01
2.857472586046806e-08	1.417074e-01
2.957472586046806e-08	1.417064e-01
3.057472586046806e-08	1.417063e-01
3.157472586046806e-08	1.417063e-01
3.257472586046806e-08	1.417063e-01
3.357472586046806e-08	1.417063e-01
3.457472586046807e-08	1.417063e-01
3.557472586046807e-08	1.417063e-01
3.657472586046807e-08	1.417063e-01
3.757472586046807e-08	1.417063e-01
3.857472586046808e-08	1.417063e-01
3.957472586046808e-08	1.417063e-01
4.057472586046808e-08	1.417063e-01
4.157472586046808e-08	1.417061e-01
4.257472586046808e-08	1.417060e-01
4.357472586046809e-08	1.417061e-01
4.457472586046809e-08	1.417061e-01
4.557472586046809e-08	1.417061e-01
4.657472586046809e-08	1.417062e-01
4.757472586046810e-08	1.417063e-01
4.857472586046810e-08	1.417065e-01
4.957472586046810e-08	1.417067e-01
5.057472586046810e-08	1.417072e-01
5.154561272059289e-08	1.417076e-01
5.254561272059289e-08	1.417082e-01
5.354561272059290e-08	1.417089e-01
5.454561272059290e-08	1.417099e-01
5.554561272059290e-08	1.417113e-01
5.654561272059290e-08	1.417132e-01
5.754561272059290e-08	1.417161e-01
5.854561272059291e-08	1.417212e-01
5.954561272059291e-08	1.417374e-01
6.054561272059291e-08	1.419575e-01
6.154561272059291e-08	1.445648e-01
6.192622600859055e-08	1.637034e-01
6.213216354231417e-08	2.143689e-01
6.231102136690696e-08	3.143896e-01
6.249459541663594e-08	4.824986e-01
6.276200724860692e-08	8.446053e-01
6.309029968704398e-08	1.457135e+00
6.343406075777492e-08	2.231566e+00
6.357779396229763e-08	2.556639e+00
6.369070764246519e-08	2.771793e+00
6.380051618537501e-08	2.923933e+00
6.391646241075172e-08	3.027641e+00
6.401628469153844e-08	3.080342e+00
6.412806368935978e-08	3.113239e+00
6.423772100149405e-08	3.130548e+00
6.436452479520497e-08	3.140398e+00
6.450160204199627e-08	3.145452e+00
6.467860785670104e-08	3.148500e+00
6.490463403246104e-08	3.150529e+00
6.524921891274484e-08	3.152353e+00
6.572191458858810e-08	3.153926e+00
6.640438775139473e-08	3.155203e+00
6.738930606212441e-08	3.155963e+00
6.838930606212440e-08	3.156135e+00
6.938930606212440e-08	3.156142e+00
7.038930606212439e-08	3.156141e+00
