time	V(compout)	V(input)
0.000000000000000e+00	1.417064e-01	2.779785e-04
7.696000000000000e-10	1.417064e-01	2.779785e-04
7.706000000000000e-10	1.417064e-01	-1.967772e-02
7.726000000000000e-10	1.417064e-01	-1.003499e-01
7.766000000000000e-10	1.417064e-01	-3.853180e-01
7.796000000000000e-10	1.417064e-01	-6.800901e-01
7.800517954668960e-10	1.417064e-01	-7.310874e-01
7.809553864006882e-10	1.417064e-01	-8.205711e-01
7.827625682682724e-10	1.417064e-01	-9.442086e-01
7.861519025488845e-10	1.417064e-01	-1.033950e+00
7.896000000000000e-10	1.417064e-01	-1.002644e+00
7.904000000000000e-10	1.417064e-01	-9.650804e-01
7.908480000000000e-10	1.417064e-01	-9.466572e-01
7.913599999999999e-10	1.417064e-01	-9.304028e-01
7.923839999999998e-10	1.417064e-01	-9.126365e-01
7.944319999999996e-10	1.417064e-01	-9.310216e-01
7.985279999999993e-10	1.417064e-01	-1.086484e+00
8.004000000000000e-10	1.417064e-01	-1.202562e+00
8.009007454691022e-10	1.417064e-01	-1.238698e+00
8.019022364073065e-10	1.417064e-01	-1.298452e+00
8.039052182837151e-10	1.417064e-01	-1.366780e+00
8.070973429510634e-10	1.417065e-01	-1.366857e+00
8.104000000000000e-10	1.417065e-01	-1.272583e+00
8.121235737124028e-10	1.417065e-01	-1.177806e+00
8.144216719956065e-10	1.417065e-01	-1.065310e+00
8.190178685620139e-10	1.417065e-01	-8.809953e-01
8.282102616948288e-10	1.417065e-01	-6.138933e-01
8.402716487803470e-10	1.417066e-01	-3.925753e-01
8.540626723791903e-10	1.417068e-01	-2.559918e-01
8.703598811595786e-10	1.417070e-01	-1.797114e-01
8.908207886567256e-10	1.417073e-01	-1.400804e-01
9.180439540944520e-10	1.417080e-01	-1.214142e-01
9.563253718696265e-10	1.417091e-01	-1.125729e-01
1.007659662750445e-09	1.417112e-01	-1.065960e-01
1.057678455963997e-09	1.417138e-01	-1.016437e-01
1.111924689699534e-09	1.417172e-01	-9.643937e-02
1.165156378385891e-09	1.417213e-01	-9.150185e-02
1.233710363237529e-09	1.417278e-01	-8.537717e-02
1.299636110347857e-09	1.417354e-01	-7.973238e-02
1.378361994905949e-09	1.417470e-01	-7.331086e-02
