time	V(compout)	V(input)
2.623522285714286e-09	1.417065e-01	-6.531898e-01
2.624102857142858e-09	1.417065e-01	-6.364679e-01
2.624683428571430e-09	1.417065e-01	-6.203629e-01
2.625264000000001e-09	1.417065e-01	-6.048747e-01
2.629100000000000e-09	1.417065e-01	-5.063651e-01
2.629160000000000e-09	1.417065e-01	-5.059465e-01
2.629280000000000e-09	1.417065e-01	-5.071973e-01
2.629520000000000e-09	1.417065e-01	-5.164018e-01
2.629700000000000e-09	1.417065e-01	-5.279676e-01
2.629844000000000e-09	1.417065e-01	-5.389350e-01
2.630036000000000e-09	1.417065e-01	-5.478789e-01
2.630420000000000e-09	1.417065e-01	-5.551502e-01
2.630500000000000e-09	1.417065e-01	-5.547463e-01
2.630800000000000e-09	1.417065e-01	-5.473503e-01
2.631016000000000e-09	1.417065e-01	-5.425134e-01
2.631232000000000e-09	1.417065e-01	-5.381975e-01
2.631448000000000e-09	1.417065e-01	-5.344024e-01
2.631664000000000e-09	1.417065e-01	-5.311282e-01
2.631880000000001e-09	1.417065e-01	-5.283749e-01
2.632096000000000e-09	1.417065e-01	-5.261424e-01
2.632312000000001e-09	1.417065e-01	-5.244308e-01
2.633100000000000e-09	1.417065e-01	-5.196361e-01
2.633250000000000e-09	1.417065e-01	-5.188297e-01
2.633600000000000e-09	1.417065e-01	-5.138719e-01
2.633810000000000e-09	1.417065e-01	-5.112010e-01
2.633900000000000e-09	1.417065e-01	-5.108389e-01
2.634068000000000e-09	1.417065e-01	-5.109794e-01
2.634260000000000e-09	1.417065e-01	-5.106416e-01
2.634644000000000e-09	1.417065e-01	-5.083864e-01
2.635412000000001e-09	1.417065e-01	-4.997074e-01
2.636000000000000e-09	1.417065e-01	-4.902268e-01
2.636090000000000e-09	1.417065e-01	-4.896945e-01
2.636210000000000e-09	1.417065e-01	-4.913029e-01
2.636300000000000e-09	1.417065e-01	-4.938475e-01
2.636468000000000e-09	1.417065e-01	-4.995328e-01
2.636660000000000e-09	1.417065e-01	-5.021421e-01
2.637000000000000e-09	1.417065e-01	-5.016894e-01
2.637800000000000e-09	1.417065e-01	-4.844920e-01
2.637820000000000e-09	1.417065e-01	-4.843783e-01
2.637860000000000e-09	1.417065e-01	-4.848413e-01
2.637940000000000e-09	1.417065e-01	-4.879892e-01
2.638000000000000e-09	1.417065e-01	-4.918998e-01
2.638157142857143e-09	1.417065e-01	-5.083707e-01
2.638314285714286e-09	1.417065e-01	-5.262552e-01
2.638471428571429e-09	1.417065e-01	-5.455533e-01
2.638628571428572e-09	1.417065e-01	-5.662649e-01
2.638785714285714e-09	1.417065e-01	-5.883900e-01
2.638942857142857e-09	1.417065e-01	-6.119287e-01
2.639100000000000e-09	1.417065e-01	-6.368809e-01
2.639160000000000e-09	1.417065e-01	-6.454163e-01
2.639280000000000e-09	1.417065e-01	-6.588760e-01
2.639520000000000e-09	1.417065e-01	-6.742048e-01
2.639700000000000e-09	1.417065e-01	-6.776389e-01
2.639844000000000e-09	1.417065e-01	-6.753649e-01
2.640036000000000e-09	1.417065e-01	-6.773043e-01
2.640420000000000e-09	1.417065e-01	-6.904768e-01
2.640500000000000e-09	1.417065e-01	-6.949008e-01
2.640730400000000e-09	1.417065e-01	-7.097898e-01
2.641037600000000e-09	1.417065e-01	-7.253166e-01
2.641652000000000e-09	1.417065e-01	-7.412422e-01
2.642880799999999e-09	1.417066e-01	-7.437229e-01
2.643000000000000e-09	1.417066e-01	-7.415406e-01
2.643100000000000e-09	1.417066e-01	-7.382147e-01
2.643156000000000e-09	1.417066e-01	-7.371506e-01
2.643220000000000e-09	1.417066e-01	-7.377152e-01
2.643348000000000e-09	1.417066e-01	-7.445138e-01
2.643600000000000e-09	1.417066e-01	-7.682801e-01
2.643676800000000e-09	1.417066e-01	-7.771193e-01
2.643779200000000e-09	1.417066e-01	-7.833960e-01
2.643900000000000e-09	1.417066e-01	-7.856078e-01
2.643990697142857e-09	1.417066e-01	-7.826493e-01
2.644081394285714e-09	1.417066e-01	-7.801281e-01
2.644172091428572e-09	1.417066e-01	-7.780443e-01
2.644262788571428e-09	1.417066e-01	-7.763978e-01
2.644353485714286e-09	1.417066e-01	-7.751887e-01
2.644444182857143e-09	1.417066e-01	-7.744170e-01
2.644534880000000e-09	1.417066e-01	-7.740827e-01
2.645190240000000e-09	1.417066e-01	-7.808823e-01
2.646000000000000e-09	1.417066e-01	-8.041989e-01
2.646090000000000e-09	1.417066e-01	-8.070019e-01
2.646210000000001e-09	1.417066e-01	-8.076541e-01
2.646300000000000e-09	1.417066e-01	-8.063622e-01
2.646468000000000e-09	1.417066e-01	-8.026734e-01
2.646660000000000e-09	1.417066e-01	-8.035634e-01
2.647000000000000e-09	1.417066e-01	-8.118011e-01
2.647268800000000e-09	1.417066e-01	-8.287104e-01
2.647800000000000e-09	1.417066e-01	-8.732963e-01
2.647940000000000e-09	1.417066e-01	-8.796262e-01
2.648000000000000e-09	1.417066e-01	-8.793631e-01
2.648357142857143e-09	1.417066e-01	-8.654207e-01
2.648714285714286e-09	1.417066e-01	-8.516847e-01
2.649071428571429e-09	1.417066e-01	-8.381552e-01
2.649428571428571e-09	1.417066e-01	-8.248321e-01
2.649785714285714e-09	1.417066e-01	-8.117155e-01
2.650142857142857e-09	1.417066e-01	-7.988053e-01
2.650500000000000e-09	1.417066e-01	-7.861016e-01
2.651114400000000e-09	1.417066e-01	-7.714373e-01
2.651933600000000e-09	1.417066e-01	-7.650030e-01
2.653000000000000e-09	1.417066e-01	-7.701747e-01
2.653060000000000e-09	1.417066e-01	-7.709837e-01
2.653180000000000e-09	1.417066e-01	-7.716137e-01
2.653420000000000e-09	1.417066e-01	-7.697020e-01
2.653600000000000e-09	1.417066e-01	-7.660621e-01
2.654470857142857e-09	1.417066e-01	-7.377400e-01
2.655341714285714e-09	1.417066e-01	-7.105959e-01
2.656212571428571e-09	1.417067e-01	-6.846299e-01
2.657083428571427e-09	1.417067e-01	-6.598421e-01
