time	V(compout)
0.000000000000000e+00	1.417064e-01
2.548800000000000e-09	1.417064e-01
2.550800000000000e-09	1.417064e-01
2.554800000000000e-09	1.417064e-01
2.557100996737437e-09	1.417064e-01
2.559328939757832e-09	1.417064e-01
2.563784825798620e-09	1.417064e-01
2.568800000000000e-09	1.417064e-01
2.570810000000000e-09	1.417064e-01
2.573490000000000e-09	1.417064e-01
2.575500000000000e-09	1.417064e-01
2.576340000000000e-09	1.417064e-01
2.577460000000000e-09	1.417064e-01
2.578300000000000e-09	1.417064e-01
2.578750000000000e-09	1.417064e-01
2.579800000000000e-09	1.417064e-01
2.580700000000000e-09	1.417064e-01
2.581128571428571e-09	1.417064e-01
2.581557142857143e-09	1.417064e-01
2.581985714285714e-09	1.417064e-01
2.582414285714286e-09	1.417064e-01
2.582842857142857e-09	1.417064e-01
2.583271428571429e-09	1.417064e-01
2.583700000000000e-09	1.417064e-01
2.584757142857143e-09	1.417064e-01
2.585814285714286e-09	1.417064e-01
2.586871428571429e-09	1.417064e-01
2.587928571428571e-09	1.417064e-01
2.588985714285714e-09	1.417064e-01
2.590042857142857e-09	1.417064e-01
2.591100000000000e-09	1.417064e-01
2.591200000000000e-09	1.417064e-01
2.592369142857143e-09	1.417064e-01
2.593538285714286e-09	1.417064e-01
2.594707428571430e-09	1.417064e-01
2.595876571428573e-09	1.417064e-01
2.597045714285716e-09	1.417064e-01
2.598214857142859e-09	1.417064e-01
2.599384000000003e-09	1.417064e-01
2.603700000000000e-09	1.417064e-01
2.604900000000000e-09	1.417064e-01
2.606685714285714e-09	1.417064e-01
2.608471428571429e-09	1.417064e-01
2.610257142857143e-09	1.417064e-01
2.612042857142857e-09	1.417064e-01
2.613828571428571e-09	1.417064e-01
2.615614285714286e-09	1.417064e-01
2.617400000000000e-09	1.417064e-01
2.619500000000000e-09	1.417064e-01
2.620400000000000e-09	1.417064e-01
2.621900000000000e-09	1.417064e-01
2.622000000000000e-09	1.417064e-01
2.623700000000000e-09	1.417064e-01
2.624024000000000e-09	1.417064e-01
2.624663428571429e-09	1.417064e-01
2.625302857142857e-09	1.417064e-01
2.625942285714286e-09	1.417064e-01
2.626581714285714e-09	1.417064e-01
2.627221142857143e-09	1.417064e-01
2.627860571428571e-09	1.417064e-01
2.628500000000000e-09	1.417064e-01
2.628657142857143e-09	1.417064e-01
2.628814285714285e-09	1.417064e-01
2.628971428571428e-09	1.417064e-01
2.629128571428571e-09	1.417064e-01
2.629285714285714e-09	1.417064e-01
2.629442857142856e-09	1.417064e-01
2.629599999999999e-09	1.417064e-01
2.630500000000000e-09	1.417064e-01
2.630800000000000e-09	1.417064e-01
2.631000000000000e-09	1.417064e-01
2.631557142857143e-09	1.417064e-01
2.632114285714286e-09	1.417064e-01
2.632671428571429e-09	1.417064e-01
2.633228571428572e-09	1.417064e-01
