,0
458882.0,16590.249481496943
252845.0,16556.51517111682
523297.0,16614.18628478613
251599.0,16648.533158748294
415131.0,16669.67759897994
445663.0,16578.877457718492
150196.0,16652.659389490847
268249.0,16672.615863433144
151501.0,16583.95335455144
375759.0,16711.39174530479
195116.0,16573.99571245065
285589.0,18947.48829514557
240686.0,19008.758086076923
430989.0,18960.455573100255
227069.0,18901.451653778375
601087.0,18976.17794240603
131771.0,19067.451405374533
290412.0,18923.27789558359
